"year4","Acanthocyclops","Aglaodiaptomus Clavipes","Alona","Calanoid","Chydorus","Copepod Nauplii","Copepodites","Cyclopoid","Daphnia","Daphnia Mendotae","Daphnia Parvula","Daphnia Pulicaria","Daphnia Retrocurva","Diacyclops Thomasi","Diaphanosoma Birgei","Diaptomid","Mesocyclops Edax","Sinobosmina Fryei","Tropocyclops","Tropocyclops Prasinus Mexicanus","tot.zoops","tot.zoops.no.pred"
1996,0,295650,0,56781,0,11081772,0,2632905,1158867,9396,0,2759103,0,1286199,0,2561220,19440,3240,0,0,21864573,21864573
1997,34236,203796,0,10530,88020,7908840,0,8099244,619056,5994,0,1053108,0,467640,0,1197288,6480,0,0,0,19694232,19694232
1998,19440,87048,0,34560,26568,1635012,0,421740,12798,12798,0,339552,0,627804,0,1026216,0,3240,0,0,4246776,4246776
1999,0,260000,0,44400,32000,16919800,0,2246400,1315800,69000,0,2350200,0,3513600,0,3731200,0,0,0,0,30482400,30482400
2000,44400,243485,7200,47200,29810,6214340,0,953310,14140,103075,0,900815,0,726525,0,3204095,68600,7140,0,0,12564135,12564135
2001,0,438000,0,0,14600,2332200,0,720400,0,113600,0,825000,0,583000,0,1877800,17200,0,0,24400,6946200,6946200
2002,0,281733.333333333,5800,0,6000,480400,0,56400,0,122400,0,841866.666666667,0,332800,0,4519733.33333333,0,0,0,29866.6666666667,6677000,6677000
2003,37200,49866.6666666667,0,0,0,870266.666666667,0,192800,355866.666666667,36933.3333333333,70133.3333333333,306533.333333333,0,61200,0,741066.666666667,0,5600,0,0,2727466.66666667,2727466.66666667
2004,16800,66000,0,0,71733.3333333333,2059733.33333333,0,62200,0,5600,0,1163866.66666667,0,403600,0,411200,0,922400,0,0,5183133.33333333,5183133.33333333
2005,17200,45400,0,0,11200,5341600,0,368600,62400,5600,0,1329800,0,900200,0,128600,17200,0,0,0,8227800,8227800
2006,0,79200,0,0,11200,13409600,0,1509200,577200,11200,294400,1935200,0,462800,0,1046000,85600,0,0,0,19421600,19421600
2007,0,801673.333333333,0,0,22006.6666666667,811100,127326.666666667,0,14140,14150,481006.666666667,1193073.33333333,0,261720,4720,2272973.33333333,155620,4720,0,28300,6192530,6192530
2008,28300,389050,0,0,18860,877120,0,0,4720,9430,0,365470,0,240500,0,1796680,0,4720,0,0,3734850,3734850
2009,0,190990,0,0,14140,4060220,247570,0,0,37720,0,1766030,0,855900,9440,1966440,28300,4720,0,0,9181470,9181470
2010,14140,0,0,0,0,2182195,77810,0,0,424413.333333333,4720,249933.333333333,9440,3784350,0,880655,28300,0,0,14140,7670096.66666667,7670096.66666667
2011,0,0,0,0,9430,7080630,6373270,0,0,87240,0,268800,0,5566880,0,6472300,0,0,0,0,25858550,25858550
2012,0,0,0,0,0,3550925,6900250,0,0,119070,0,4283035,0,9001095,0,2956745,0,0,0,0,26811120,26811120
2013,0,0,0,0,23580,9322940,2702100,0,0,4720,0,245220,1065740,0,0,6875500,0,9440,0,0,20249240,20249240
2014,0,0,0,0,0,8969260,537600,0,0,18860,0,9440,0,3819720,0,6083260,28300,0,0,0,19466440,19466440
2015,0,0,0,0,21220,11975520,3133590,0,0,9440,0,0,0,10617410,0,6649140,56580,0,0,0,32462900,32462900
2016,0,0,0,0,0,24177410,2136210,0,0,16500,0,68380,0,10178840,0,1824980,0,0,0,0,38402320,38402320
2017,1365200,0,0,0,91960,36428800,17896090,0,0,240500,44800,0,80160,7993110,0,5404190,205130,21220,155620,0,69926780,69926780
2018,2546480,0,0,0,0,13298280,169760,0,0,66020,0,4720,0,438560,0,1824980,707360,0,1853280,0,20909440,20909440
