wateryear,mean_pp,max_pp,min_pp,cumsum_pp
1940,1.7717540983606557,77.47,0,648.462
1941,2.357676712328767,109.72800000000001,0,860.552
1942,2.0118191780821917,54.356,0,734.314
1943,1.6750082191780822,41.401999999999994,0,611.3779999999999
1944,1.899448087431694,42.672,0,695.198
1945,2.090454794520548,46.228,0,763.016
1946,1.3966520547945205,24.13,0,509.77799999999996
1947,2.19066301369863,68.83399999999999,0,799.592
1948,2.1083660130718953,40.894,0,645.16
1949,2.549042071197411,66.04,0,787.654
1950,3.4577630662020904,92.71,0,992.3779999999999
1951,2.3905882352941177,35.559999999999995,0,690.88
1952,3.10224406779661,50.291999999999994,0,915.1619999999999
1953,2.6868156028368793,70.358,0,757.682
1954,2.9436164383561643,87.88399999999999,0,859.536
1955,2.0863034482758622,45.212,0,605.028
1956,2.8550318021201413,45.466,0,807.9739999999999
1957,2.653082191780822,47.244,0,774.6999999999999
1958,1.966310344827586,54.61,0,570.23
1959,3.026474576271186,70.612,0,892.81
1960,4.097494505494505,77.216,0,1118.616
1961,2.3889965635738832,68.58,0,695.198
1962,2.5233138686131387,54.61,0,691.388
1963,2.3210035335689043,93.21799999999999,0,656.8439999999999
1964,2.215494661921708,39.116,0,622.554
1965,3.0132421052631577,66.294,0,858.774
1966,2.3922020905923342,92.456,0,686.562
1967,2.653862068965517,46.736,0,769.62
1968,2.908764119601329,54.102,0,875.538
1969,2.6281580756013745,55.117999999999995,0,764.794
1970,2.6343680555555555,64.77,0,758.698
1971,2.1519931034482758,34.544,0,624.078
1972,3.004934256055363,58.419999999999995,0,868.4259999999999
1973,2.892456026058632,49.022,0,887.9839999999999
1974,2.899902280130293,62.483999999999995,0,890.27
1975,3.1712026578073087,98.80600000000001,0,954.5319999999999
1976,1.8888664495114007,47.244,0,579.882
1977,2.5202635135135134,54.61,0,745.9979999999999
1978,3.2384999999999997,86.61399999999999,0,906.78
1979,2.313740614334471,37.337999999999994,0,677.9259999999999
1980,3.304636678200692,60.198,0,955.04
1981,2.6816870748299317,65.786,0,788.4159999999999
1982,2.335436241610738,35.814,0,695.9599999999999
1983,2.80593288590604,49.022,0,836.168
1984,2.7548561643835616,59.43599999999999,0,804.418
1985,3.171567567567567,70.612,0,938.784
1986,3.5005187713310577,57.91199999999999,0,1025.652
1987,2.2211323076923075,69.596,0,721.8679999999999
1988,2.149230769230769,47.498,0,670.56
1989,2.2420065359477124,57.658,0,686.054
1990,2.743879598662207,50.8,0,820.42
1991,2.911167741935484,55.626,0,902.462
1992,2.8956,63.245999999999995,0,883.158
1993,4.146401337792642,95.25,0,1239.774
1994,2.799273356401384,62.230000000000004,0,808.99
1995,2.623494809688581,75.692,0,758.1899999999999
1996,3.2098901098901096,114.55399999999999,0,876.3
1997,2.7612258064516126,39.878,0,770.382
1998,3.2139466666666663,70.612,0,964.184
1999,2.723576323987539,42.926,0,874.268
2000,3.192910256410256,87.88399999999999,0,996.188
2001,3.1374485049833885,86.35999999999999,0,944.372
2002,2.3495,47.244,0,704.85
2003,2.041190789473684,59.181999999999995,0,620.5219999999999
2004,3.67718954248366,92.964,0,1125.22
2005,2.038330218068536,32.258,0,654.304
2006,3.004675585284281,57.15,0,898.398
2007,3.7085704697986577,86.10600000000001,0,1105.154
2008,3.668155844155844,104.394,0,1129.792
2009,3.1205714285714286,93.21799999999999,0,939.2919999999999
2010,3.617310344827586,91.694,0,1049.02
2011,2.391973509933775,35.306,0,722.376
2012,2.0344190476190476,36.322,0,640.842
2013,4.09575,81.026,0,1212.3419999999999
2014,2.944734426229508,66.802,0,898.144
2015,2.8587450980392157,54.61,0,874.776
2016,3.9695855263157895,70.866,0,1206.754
2017,3.4664012944983815,59.43599999999999,0,1071.118
2018,3.806722580645161,96.01199999999999,0,1180.0839999999998
2019,3.743417475728155,52.06999999999999,0,1156.716
2020,3.453750798722045,60.959999999999994,0,1081.024
2021,2.0328037974683544,47.751999999999995,0,642.366
2022,2.929016611295681,55.37200000000001,0,881.634
2023,2.2518076923076924,39.624,0,351.282
